student,number,model,position,side,treatment,distance,seen
18812871,9,3,3,L,S,5,0
18812871,9,4,4,L,S,1,0
18812871,9,5,5,L,B,2,0
18812871,9,6,6,L,Y,4,1
18812871,9,7,7,L,S,2,0
18812871,9,8,8,L,B,5,0
18812871,9,9,9,L,S,3,0
18812871,9,10,10,L,B,3,0
18812871,9,11,11,L,Y,2,1
18812871,9,12,12,L,B,4,0
18812871,9,13,13,L,B,1,0
18812871,9,14,14,L,Y,3,0
18812871,9,15,15,L,Y,1,1
18812871,9,16,1,R,S,5,0
18812871,9,17,2,R,S,2,0
18812871,9,18,3,R,B,6,0
18812871,9,19,4,R,S,1,0
18812871,9,20,5,R,B,2,0
18812871,9,21,6,R,Y,2,0
18812871,9,22,7,R,B,4,0
18812871,9,23,8,R,Y,4,0
18812871,9,24,9,R,Y,5,0
18812871,9,25,10,R,S,4,0
18812871,9,26,11,R,Y,1,0
18812871,9,27,12,R,Y,3,0
18812871,9,28,13,R,B,5,0
18812871,9,29,14,R,S,3,0
18812871,9,30,15,R,B,1,0
19113412,10,1,1,L,S,4,0
19113412,10,2,2,L,Y,5,0
19113412,10,3,3,L,S,5,0
19113412,10,4,4,L,S,1,0
19113412,10,5,5,L,B,2,0
19113412,10,6,6,L,Y,4,1
19113412,10,7,7,L,S,2,0
19113412,10,8,8,L,B,5,0
19113412,10,9,9,L,S,3,0
19113412,10,10,10,L,B,3,0
19113412,10,11,11,L,Y,2,0
19113412,10,12,12,L,B,4,0
19113412,10,13,13,L,B,1,0
19113412,10,14,14,L,Y,3,0
19113412,10,15,15,L,Y,1,0
19113412,10,16,1,R,S,5,0
19113412,10,17,2,R,S,2,0
19113412,10,18,3,R,B,6,0
19113412,10,19,4,R,S,1,0
19113412,10,20,5,R,B,2,0
19113412,10,21,6,R,Y,2,0
19113412,10,22,7,R,B,4,0
19113412,10,23,8,R,Y,4,0
19113412,10,24,9,R,Y,5,0
19113412,10,25,10,R,S,4,0
19113412,10,26,11,R,Y,1,0
19113412,10,27,12,R,Y,3,0
19113412,10,28,13,R,B,5,0
19113412,10,29,14,R,S,3,0
19113412,10,30,15,R,B,1,0
18574597,11,1,1,L,S,4,0
18574597,11,2,2,L,Y,5,0
18574597,11,3,3,L,S,5,0
18574597,11,4,4,L,S,1,0
18574597,11,5,5,L,B,2,0
18574597,11,6,6,L,Y,4,0
18574597,11,7,7,L,S,2,0
18574597,11,8,8,L,B,5,0
18574597,11,9,9,L,S,3,0
18574597,11,10,10,L,B,3,0
18574597,11,11,11,L,Y,2,0
18574597,11,12,12,L,B,4,0
18574597,11,13,13,L,B,1,0
18574597,11,14,14,L,Y,3,0
18574597,11,15,15,L,Y,1,0
18574597,11,16,1,R,S,5,0
18574597,11,17,2,R,S,2,0
18574597,11,18,3,R,B,6,0
18574597,11,19,4,R,S,1,0
18574597,11,20,5,R,B,2,0
18574597,11,21,6,R,Y,2,0
18574597,11,22,7,R,B,4,0
18574597,11,23,8,R,Y,4,0
18574597,11,24,9,R,Y,5,0
18574597,11,25,10,R,S,4,0
18574597,11,26,11,R,Y,1,0
18574597,11,27,12,R,Y,3,0
18574597,11,28,13,R,B,5,0
18574597,11,29,14,R,S,3,0
18574597,11,30,15,R,B,1,0
18409797,12,1,1,L,S,4,0
18409797,12,2,2,L,Y,5,0
18409797,12,3,3,L,S,5,0
18409797,12,4,4,L,S,1,0
18409797,12,5,5,L,B,2,0
18409797,12,6,6,L,Y,4,0
18409797,12,7,7,L,S,2,0
18409797,12,8,8,L,B,5,0
18409797,12,9,9,L,S,3,0
18409797,12,10,10,L,B,3,0
18409797,12,11,11,L,Y,2,1
18409797,12,12,12,L,B,4,0
18409797,12,13,13,L,B,1,0
18409797,12,14,14,L,Y,3,0
18409797,12,15,15,L,Y,1,1
18409797,12,16,1,R,S,5,0
18409797,12,17,2,R,S,2,0
18409797,12,18,3,R,B,6,0
18409797,12,19,4,R,S,1,0
18409797,12,20,5,R,B,2,0
18409797,12,21,6,R,Y,2,1
18409797,12,22,7,R,B,4,0
18409797,12,23,8,R,Y,4,0
18409797,12,24,9,R,Y,5,0
18409797,12,25,10,R,S,4,0
18409797,12,26,11,R,Y,1,0
18409797,12,27,12,R,Y,3,1
18409797,12,28,13,R,B,5,0
18409797,12,29,14,R,S,3,0
18409797,12,30,15,R,B,1,0
18259054,13,1,1,L,S,4,0
18259054,13,2,2,L,Y,5,0
18259054,13,3,3,L,S,5,0
18259054,13,4,4,L,S,1,0
18259054,13,5,5,L,B,2,0
18259054,13,6,6,L,Y,4,0
18259054,13,7,7,L,S,2,0
18259054,13,8,8,L,B,5,0
18259054,13,9,9,L,S,3,0
18259054,13,10,10,L,B,3,0
18259054,13,11,11,L,Y,2,0
18259054,13,12,12,L,B,4,0
18259054,13,13,13,L,B,1,0
18259054,13,14,14,L,Y,3,0
18259054,13,15,15,L,Y,1,0
18259054,13,16,1,R,S,5,0
18259054,13,17,2,R,S,2,0
18259054,13,18,3,R,B,6,0
18259054,13,19,4,R,S,1,0
18259054,13,20,5,R,B,2,0
18259054,13,21,6,R,Y,2,0
18259054,13,22,7,R,B,4,0
18259054,13,23,8,R,Y,4,0
18259054,13,24,9,R,Y,5,0
18259054,13,25,10,R,S,4,0
18259054,13,26,11,R,Y,1,0
18259054,13,27,12,R,Y,3,0
18259054,13,28,13,R,B,5,0
18259054,13,29,14,R,S,3,0
18259054,13,30,15,R,B,1,0
18606919,14,1,1,L,S,4,0
18606919,14,2,2,L,Y,5,0
18606919,14,3,3,L,S,5,0
18606919,14,4,4,L,S,1,0
18606919,14,5,5,L,B,2,0
